consumer,mineral,year,partner_iso,trade_value,net_weight,total_imports,total_imports_wt,import_share,import_share_wt
China,Aluminium,2015,AUS,2558554327.0,22815294015.0,10618238139.0,62418170811.942,0.24095846161168866,0.36552327180076416
China,Aluminium,2015,AUT,1135464.0,409476.461,10618238139.0,62418170811.942,0.00010693525471325841,6.560212445726749e-06
China,Aluminium,2015,BEL,77361902.0,42208916.0,10618238139.0,62418170811.942,0.007285756920053948,0.0006762280190358363
China,Aluminium,2015,BRA,233078686.0,1950413179.0,10618238139.0,62418170811.942,0.0219507872161879,0.031247522213945462
China,Aluminium,2015,CAN,80163157.0,47627275.4,10618238139.0,62418170811.942,0.007549572344357835,0.0007630354235066406
China,Aluminium,2015,CHL,2871980.0,1919792.0,10618238139.0,62418170811.942,0.0002704761338372541,3.075694104820997e-05
China,Aluminium,2015,CHN,173862486.0,35979492.723000005,10618238139.0,62418170811.942,0.016373948646095628,0.0005764265798720958
China,Aluminium,2015,COL,9993088.0,6839970.0,10618238139.0,62418170811.942,0.0009411248711117271,0.00010958299339799557
China,Aluminium,2015,CZE,1803.0,7.0,10618238139.0,62418170811.942,1.6980218152931745e-07,1.1214683014486452e-10
China,Aluminium,2015,DEU,348283441.0,166562006.444,10618238139.0,62418170811.942,0.03280049255259974,0.002668485863609014
China,Aluminium,2015,DOM,63900480.0,1143400000.0,10618238139.0,62418170811.942,0.006017992736977548,0.01831838365537687
China,Aluminium,2015,ESP,3767.0,1503.0,10618238139.0,62418170811.942,3.547669538663e-07,2.407952652967591e-08
China,Aluminium,2015,FIN,6171448.0,4128222.006,10618238139.0,62418170811.942,0.0005812120541290866,6.613814458673913e-05
China,Aluminium,2015,FRA,82212199.0,60209890.791999996,10618238139.0,62418170811.942,0.0077425461666790745,0.0009646211993844665
China,Aluminium,2015,GBR,165388953.0,96113537.15,10618238139.0,62418170811.942,0.0155759317915972,0.001539832646483311
China,Aluminium,2015,GHA,52386827.0,738287000.0,10618238139.0,62418170811.942,0.0049336647298940375,0.011828078112451656
China,Aluminium,2015,GIN,19987044.0,329977266.0,10618238139.0,62418170811.942,0.0018823314883652,0.005286557771681254
China,Aluminium,2015,GUY,2720594.0,37713411.0,10618238139.0,62418170811.942,0.00025621896630924676,0.0006042056425143522
China,Aluminium,2015,IDN,3576986.0,2795676.282,10618238139.0,62418170811.942,0.0003368718946754449,4.478946187678291e-05
China,Aluminium,2015,JAM,27716292.0,82019210.0,10618238139.0,62418170811.942,0.002610253380756278,0.001314027773212282
China,Aluminium,2015,JPN,787489254.0,137200650.39,10618238139.0,62418170811.942,0.07416383430953677,0.0021980882907217526
China,Aluminium,2015,KAZ,5064195.0,175894.0,10618238139.0,62418170811.942,0.00047693364320014524,2.8179935059286857e-06
China,Aluminium,2015,KOR,838756394.0,164853434.052,10618238139.0,62418170811.942,0.0789920496244391,0.002641112866775324
