consumer,mineral,stage,year,partner_iso,trade_value,net_weight,total_imports,total_imports_wt,import_share,import_share_wt
China,Aluminium,intermediate,2015,AUS,1480901226.0,3234144015.0,7720557583.0,7096969924.941999,0.19181272985526543,0.4557077244520564
China,Aluminium,intermediate,2015,AUT,1135464.0,409476.461,7720557583.0,7096969924.941999,0.00014707020675555786,5.769736455566937e-05
China,Aluminium,intermediate,2015,BEL,77361902.0,42208916.0,7720557583.0,7096969924.941999,0.010020248041455479,0.005947455949004174
China,Aluminium,intermediate,2015,BRA,114651765.0,330428419.0,7720557583.0,7096969924.941999,0.014850192329690445,0.046559084016789105
China,Aluminium,intermediate,2015,CAN,80163157.0,47627275.4,7720557583.0,7096969924.941999,0.010383078701014074,0.006710930989381252
China,Aluminium,intermediate,2015,CHL,2871980.0,1919792.0,7720557583.0,7096969924.941999,0.0003719912673566287,0.00027050868473501243
China,Aluminium,intermediate,2015,CHN,173862486.0,35979492.723000005,7720557583.0,7096969924.941999,0.022519420926647857,0.005069697787016344
China,Aluminium,intermediate,2015,COL,9993088.0,6839970.0,7720557583.0,7096969924.941999,0.0012943479654894247,0.000963787372969021
China,Aluminium,intermediate,2015,CZE,1803.0,7.0,7720557583.0,7096969924.941999,2.3353235574203217e-07,9.863364328766276e-10
China,Aluminium,intermediate,2015,DEU,348283441.0,166562006.444,7720557583.0,7096969924.941999,0.04511117717286249,0.023469453612678406
China,Aluminium,intermediate,2015,ESP,3767.0,1503.0,7720557583.0,7096969924.941999,4.879181276096701e-07,2.1178052265908163e-07
China,Aluminium,intermediate,2015,FIN,6171448.0,4128222.006,7720557583.0,7096969924.941999,0.0007993526288294248,0.0005816879667886909
China,Aluminium,intermediate,2015,FRA,82212199.0,60209890.791999996,7720557583.0,7096969924.941999,0.01064847948042304,0.008483886986810369
China,Aluminium,intermediate,2015,GBR,165388953.0,96113537.15,7720557583.0,7096969924.941999,0.02142189229495188,0.013542897626240892
China,Aluminium,intermediate,2015,IDN,3576986.0,2795676.282,7720557583.0,7096969924.941999,0.0004633066927544474,0.0003939253387808105
China,Aluminium,intermediate,2015,JAM,27716192.0,82019200.0,7720557583.0,7096969924.941999,0.003589921026044629,0.011556932165056386
China,Aluminium,intermediate,2015,JPN,787489254.0,137200650.39,7720557583.0,7096969924.941999,0.10199901309381892,0.019332285727717984
China,Aluminium,intermediate,2015,KAZ,5064195.0,175894.0,7720557583.0,7096969924.941999,0.0006559364327715034,2.478438007491451e-05
China,Aluminium,intermediate,2015,KOR,838756394.0,164853434.052,7720557583.0,7096969924.941999,0.10863935473350643,0.02322870687004458
China,Aluminium,intermediate,2015,MAR,198553.0,125290.0,7720557583.0,7096969924.941999,2.5717443055822358e-05,1.765401309644467e-05
China,Aluminium,intermediate,2015,MDG,450.0,36.0,7720557583.0,7096969924.941999,5.82859456926869e-08,5.0725873690797994e-09
China,Aluminium,intermediate,2015,MEX,4007146.0,2666350.0,7720557583.0,7096969924.941999,0.0005190228758637056,0.00037570259254294234
China,Aluminium,intermediate,2015,MNG,2636740.0,1548500.0,7720557583.0,7096969924.941999,0.0003415219654349672,0.00021819170947277972
China,Aluminium,intermediate,2015,MYS,348680237.0,248624499.903,7720557583.0,7096969924.941999,0.04516257190643377,0.03503248605143721
China,Aluminium,intermediate,2015,NGA,2200947.0,1672910.0,7720557583.0,7096969924.941999,0.00028507617180996035,0.00023572172598909131
China,Aluminium,intermediate,2015,NLD,99715193.0,70556728.708,7720557583.0,7096969924.941999,0.012915542942075094,0.009941810301327526
China,Aluminium,intermediate,2015,NOR,10582628.0,7065198.0,7720557583.0,7096969924.941999,0.001370707735319795,0.0009955231704124406
China,Aluminium,intermediate,2015,PER,1495836.0,930537.0,7720557583.0,7096969924.941999,0.00019374714635814666,0.00013111750646281693
China,Aluminium,intermediate,2015,PHL,32647796.0,30722158.722,7720557583.0,7096969924.941999,0.004228683699204268,0.004328912063446722
China,Aluminium,intermediate,2015,POL,4966.0,600.0,7720557583.0,7096969924.941999,6.432177917997402e-07,8.454312281799666e-08
China,Aluminium,intermediate,2015,PRT,2480.0,60.0,7720557583.0,7096969924.941999,3.2122032292858556e-07,8.454312281799667e-09
China,Aluminium,intermediate,2015,RUS,46562794.0,15113809.686999999,7720557583.0,7096969924.941999,0.0060310144052972605,0.0021296144476931145
China,Aluminium,intermediate,2015,SUR,19012607.0,51503000.0,7720557583.0,7096969924.941999,0.002462595064618664,0.007257040757492137
China,Aluminium,intermediate,2015,SVK,55700.0,410.0,7720557583.0,7096969924.941999,7.214504833517022e-06,5.7771133925631054e-08
China,Aluminium,intermediate,2015,SWE,20087553.0,12674453.0,7720557583.0,7096969924.941999,0.0026018267183488216,0.0017858963943832105
China,Aluminium,intermediate,2015,THA,16593054.0,6938929.142,7720557583.0,7096969924.941999,0.0021492040984884913,0.000977731231129137
China,Aluminium,intermediate,2015,TUR,787011.0,437221.952,7720557583.0,7096969924.941999,0.00010193706756788268,6.160684864443373e-05
China,Aluminium,intermediate,2015,TZA,217983.0,137551.0,7720557583.0,7096969924.941999,2.8234100666508818e-05,1.938165181123043e-05
China,Aluminium,intermediate,2015,USA,1225481685.0,790744947.887,7720557583.0,7096969924.941999,0.15872968653176095,0.11142007874486834
China,Aluminium,intermediate,2015,VNM,179412881.0,487534586.0,7720557583.0,7096969924.941999,0.023238332085632214,0.06869616063703192
China,Aluminium,intermediate,2015,ZAF,23866689.0,6526107.0,7720557583.0,7096969924.941999,0.0030913167531516615,0.0009195624427073129
China,Aluminium,intermediate,2016,AUS,870306516.0,814986455.858,5945044517.0,3589971978.962,0.1463919258318987,0.22701749780610941
China,Aluminium,intermediate,2016,AUT,762065.0,787953.51,5945044517.0,3589971978.962,0.00012818491061267187,0.00021948737054706147
China,Aluminium,intermediate,2016,BEL,49832683.0,27856859.96,5945044517.0,3589971978.962,0.008382222009860855,0.0077596315857748005
China,Aluminium,intermediate,2016,BRA,45385935.0,50569188.971,5945044517.0,3589971978.962,0.007634246450168339,0.014086235008893165
China,Aluminium,intermediate,2016,CAN,53768880.0,36807208.92,5945044517.0,3589971978.962,0.009044319154591118,0.010252784460630356
China,Aluminium,intermediate,2016,CHL,744856.0,545815.746,5945044517.0,3589971978.962,0.00012529023085866995,0.0001520389989667319
China,Aluminium,intermediate,2016,CHN,66772705.0,19992239.971,5945044517.0,3589971978.962,0.011231657695591988,0.00556891253975206
China,Aluminium,intermediate,2016,COL,1959990.0,1468566.6020000002,5945044517.0,3589971978.962,0.00032968466331839246,0.0004090746698319968
China,Aluminium,intermediate,2016,CZE,3083.0,3481.066,5945044517.0,3589971978.962,5.185831647154342e-07,9.696638359295803e-07
China,Aluminium,intermediate,2016,DEU,248942971.0,150879776.037,5945044517.0,3589971978.962,0.04187402975505759,0.04202812081018671
China,Aluminium,intermediate,2016,ESP,12076.0,20190.844,5945044517.0,3589971978.962,2.0312715851779384e-06,5.624234428102126e-06
China,Aluminium,intermediate,2016,FIN,1348592.0,982235.605,5945044517.0,3589971978.962,0.00022684304484914592,0.00027360536816334774
China,Aluminium,intermediate,2016,FRA,39313078.0,27152011.700000003,5945044517.0,3589971978.962,0.006612747455058292,0.0075632934906223704
China,Aluminium,intermediate,2016,GBR,181415291.0,125163988.803,5945044517.0,3589971978.962,0.030515379738745192,0.03486489296754616
China,Aluminium,intermediate,2016,IDN,102959336.0,110670183.19299999,5945044517.0,3589971978.962,0.01731851388254289,0.030827589697510406
China,Aluminium,intermediate,2016,JAM,13078620.0,14767285.869,5945044517.0,3589971978.962,0.002199919607431259,0.004113482209760812
China,Aluminium,intermediate,2016,JPN,814907151.0,257849622.085,5945044517.0,3589971978.962,0.13707334716666175,0.0718249678816586
China,Aluminium,intermediate,2016,KAZ,4667565.0,2478269.352,5945044517.0,3589971978.962,0.0007851185952692169,0.0006903311130346382
