mineral,year,sector,share,demand_kt
Copper,2024,solar_pv,0.3694649692164761,6628.889999999999
Copper,2024,wind,0.05986418341701046,1074.0749999999998
Copper,2024,ev_batteries,0.0276832450221926,496.689
Copper,2024,grid_storage,0.004250394644118166,76.26
Copper,2024,electricity_networks,0.538737023817407,9665.9460770705
Copper,2024,hydrogen,1.8388279582841138e-07,0.0032992
Gallium,2024,solar_pv,1.0,1.7258505000000002
Germanium,2024,solar_pv,1.0,0.1263322
Molybdenum,2024,solar_pv,0.06622833845356738,1.9623560000000002
Molybdenum,2024,wind,0.9337716615464327,27.6678
Nickel,2024,solar_pv,0.005682008695951222,2.484254
Nickel,2024,wind,0.21779561134134107,95.2233
Nickel,2024,ev_batteries,0.7345166615919594,321.141
Nickel,2024,grid_storage,0.0388098237759261,16.9682
Nickel,2024,hydrogen,0.0031958945948223016,1.39729
Silicon,2024,solar_pv,0.9967634601946916,5873.450000000001
Silicon,2024,ev_batteries,0.0031487709256304806,18.5542
Silicon,2024,grid_storage,8.776887967778572e-05,0.51718
Manganese,2024,wind,0.7644406563003419,209.619
Manganese,2024,ev_batteries,0.22005835917037406,60.3427
Manganese,2024,grid_storage,0.015500984529283992,4.25056
Cobalt,2024,ev_batteries,0.9424058533079477,66.5071
Cobalt,2024,grid_storage,0.05754325143955024,4.06092
Cobalt,2024,hydrogen,5.089525250202391e-05,0.00359176
Graphite,2024,ev_batteries,0.8368485102392993,838.949
Graphite,2024,grid_storage,0.16315148976070065,163.561
Lithium,2024,ev_batteries,0.8517589706330418,109.026
Lithium,2024,grid_storage,0.14824102936695807,18.975
Zirconium,2024,hydrogen,1.0,0.193349
