mineral,year,rp_ratio,rp_log,byproduct_frac,hhi_mining,hhi_processing,hhi_bottleneck,hhi_import_intermediate,hhi_import_raw,hhi_export_raw,hhi_export_intermediate,hhi_import,bottleneck_stage,import_reliance,hhi_wgi,export_restriction_score,risk_weighted,enduse_hhi,n_substitutes,avg_performance_penalty,eu_substitution_index_ei,eu_substitution_index_sr,eol_rir,rp_log_norm,byproduct_frac_norm,hhi_bottleneck_norm,hhi_mining_norm,hhi_processing_norm,hhi_import_raw_norm,hhi_import_intermediate_norm,hhi_export_raw_norm,hhi_export_intermediate_norm,import_reliance_norm,hhi_wgi_norm,export_restriction_score_norm,risk_weighted_norm,enduse_hhi_norm,eu_substitution_index_sr_norm,avg_performance_penalty_norm,eol_rir_norm,D1,D2,D3,D4,CMVI,CMVI_rank,consumer
Lithium,2015,459.3333333333333,6.1319508647411824,0.0,0.3294633408919123,0.5617676209062069,0.6813118010696516,0.6813118010696516,,,0.47925412733575273,0.6813118010696516,import_intermediate,0.9936507936507937,0.2112631142498723,0.07999999999999999,0.010226075810115325,0.7474687468416343,1,0.06,0.91,0.94,0.0,0.13391575527096788,0.0,0.6631478448178862,0.23802718527622305,0.4009394598430508,,0.9786554111805749,,0.8360005779840819,0.7696055319817705,0.22669154470256034,0.026084010840108387,0.16017689431443424,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.32985612704982087,0.6897622666088573,0.1499338010816969,0.5140245503097165,0.3638956384559125,14,EU
Lithium,2016,409.63157894736844,6.017696410900162,0.0,0.30513850415512467,0.5617676209062069,0.6554153619026416,0.6554153619026416,,,0.44997169505407464,0.6554153619026415,import_intermediate,0.9894736842105263,0.2046710672092704,0.10210526315789474,0.01016232830213279,0.7474687468416343,1,0.06,0.91,0.94,0.0,0.165498115118774,0.0,0.7235720118753615,0.23061722156117304,0.3942295668598574,,0.9460400453698404,,0.6944617994801557,0.6168630531552746,0.42140706049471977,0.0,0.07651002738168315,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.34213815587952323,0.6968947721953398,0.17809648212582516,0.5140245503097165,0.38437220926822413,15,EU
Lithium,2017,203.1970802919708,5.319085607352001,0.0,0.40102083222334695,0.5617676209062069,0.4857842659394453,0.4857842659394453,,,0.38074403692975,0.4857842659394453,import_intermediate,0.9883211678832117,0.155336429082767,0.004671532846715328,0.008512699019318745,0.7474687468416343,1,0.06,0.91,0.94,0.0,0.3039616116090256,0.0,0.3967878793052284,0.33633920926584165,0.37472678396613124,,0.8900558652124829,,0.5437655470600964,0.6222646453303379,0.13781196968103188,0.0,0.0010114780371996237,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.39598507118128773,0.4531570708115058,0.048638780603241005,0.5140245503097165,0.25880551613100444,20,EU
Lithium,2018,164.03601694915255,5.106163734620295,0.0,0.43168046179258834,0.5617676209062069,0.4271033445279903,0.4271033445279903,,,0.35638289852554256,0.42710334452799037,import_intermediate,0.9915254237288136,0.1352495273247684,0.04745762711864407,0.005953372046142496,0.7474687468416343,1,0.06,0.91,0.94,0.0,0.2934898725550348,0.0,0.2797897002478781,0.33016230864991136,0.36092457693084434,,0.6101482773258157,,0.5102266231435413,0.7596179714823789,0.08064747005965724,0.047840294019847664,0.012880882534052143,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.3919127282158469,0.3997467680565033,0.045339041039462805,0.5140245503097165,0.24581457533555284,20,EU
Lithium,2019,220.15098722415794,5.398845668352113,0.0,0.34558173854511076,0.5617676209062069,0.4409364664298352,0.4409364664298352,,,0.3440214826835926,0.44093646642983514,import_intermediate,0.9895470383275261,0.16146040963438,0.049477351916376304,0.006832802136951277,0.7474687468416343,1,0.06,0.91,0.94,0.0,0.1944764606060213,0.0,0.33529959399360415,0.22399100370493608,0.3760792840827448,,0.6074013973857427,,0.4105584576960814,0.5705458076509637,0.11350165873500943,0.05112477840017572,0.06943552398605989,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.3534075124578972,0.39411114740794406,0.08028098475172118,0.5140245503097165,0.27534218993903214,19,EU
Lithium,2020,238.84482654235032,5.479992158160935,0.0,0.33024313638282027,0.5617676209062069,0.4029741136755457,0.4029741136755457,,,0.36827719507388035,0.4029741136755457,import_intermediate,0.9957861597142338,0.16022169605835823,0.04488466428528183,0.0061634888718700475,0.7474687468416343,1,0.06,0.91,0.94,0.0,0.16685802971093788,0.0,0.2682811304996664,0.2160102841024048,0.3702267232205599,,0.6212297056803155,,0.45008757305680136,0.8398135833951552,0.10190736935904057,0.05352593248493273,0.02906917495147128,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.3426670115542536,0.4111642437235386,0.060676732377485894,0.5140245503097165,0.2574680956902275,18,EU
Lithium,2021,238.84482654235032,5.479992158160935,0.0,0.33024313638282027,0.5617676209062069,0.548706394927594,0.548706394927594,,,0.3955365810003341,0.548706394927594,import_intermediate,0.9957861597142338,0.2114948340565981,0.04488466428528183,0.008529275062635682,0.7474687468416343,1,0.06,0.91,0.94,0.0,0.16685802971093788,0.0,0.43053426341777584,0.2160102841024048,0.36343191290411675,,0.7157892696039946,,0.49975695332523995,0.8398135833951552,0.23288521933810838,0.0736172496326,0.07270373809755758,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.3426670115542536,0.5328540934121206,0.12899563441551096,0.5140245503097165,0.33171099689760586,14,EU
Lithium,2022,96.7338531705164,4.582248000264584,0.0,0.2823383236328185,0.5617676209062069,0.4390509968941994,0.4390509968941994,,,0.4373451095904376,0.4390509968941994,import_intermediate,0.9981364327399342,0.18716870164724408,0.09846500907263009,0.011935187112049658,0.7474687468416343,1,0.06,0.91,0.94,0.0,0.7009533410323829,0.0,0.3374810108023934,0.12157802211707648,0.36343191290411675,,0.8408743347800791,,0.5074954930597658,0.9629055462788243,0.16842780739019828,0.15490705306212488,0.1107177315548372,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.5503707437348155,0.49383714467150114,0.1419635884740355,0.5140245503097165,0.3752753000076404,15,EU
Lithium,2023,133.6079642979746,4.902366585578827,0.0,0.2823383236328185,0.5617676209062069,0.4266272497457403,0.3258983659432059,,,0.4266272497457403,0.3258983659432059,export_intermediate,0.9981364327399342,0.18540955134392764,0.09846500907263009,0.008105873024269072,0.7474687468416343,1,0.06,0.91,0.94,0.0,0.1551801580570853,0.0,0.3004070879917862,0.12157802211707648,0.36343191290411675,,0.7081421055372866,,0.49536193324298805,0.9629055462788243,0.168579798483085,0.0,0.05421757524010989,0.5560982012388664,0.7931034482758619,0.20689655172413793,1.0,0.33812561702219984,0.46603170256354576,0.0806899595651237,0.5140245503097165,0.28433100753262563,18,EU
Cobalt,2015,55.23041878394954,4.029457869972438,0.85,0.3258604299946247,0.7583820854978313,0.9553571214441006,0.1448738826620647,0.0153499560221114,0.9553571214441006,0.524416843045693,0.09518812083887487,export_raw,1.0,0.7862781542849262,0.45645698265288237,0.04569797587473244,0.8914400207256429,1,0.02,0.97,0.98,0.22,0.5320384476649254,0.8585858585858586,1.0,0.23375286775732118,0.7034151595159698,0.010978743530251306,0.17645372051395838,1.0,0.9332645343062275,1.0,1.0,0.5393764753312504,1.0,0.8091722530551974,0.9310344827586207,0.06896551724137932,0.6000000000000001,0.659765793620535,1.0,0.8848441188328127,0.5772930632637993,0.7619267579616481,1,EU
Cobalt,2016,63.184998056743105,4.161769508261017,0.85,0.4016517532587882,0.7583820854978313,0.2189005274478965,0.1332050839848873,0.0190297545954577,0.2189005274478965,0.11452926647453596,0.09613209776704393,export_raw,1.0,0.08435924508782532,0.4533618344345122,0.06753854083685318,0.8914400207256429,1,0.02,0.97,0.98,0.22,0.5353185425687359,0.8585858585858586,0.059551351743932335,0.3420105507362758,0.700093203875954,0.03097914465256772,0.18737917960635167,0.13153226601532395,0.044238812001428846,1.0,0.07158046699809441,0.5074638711686956,0.9533852298475924,0.8091722530551974,0.9310344827586207,0.06896551724137932,0.6000000000000001,0.6610413860831279,0.29466351380794925,0.5332732231805439,0.5772930632637993,0.49485194610632166,7,EU
Cobalt,2017,55.44686527345487,4.0332997580255086,0.85,0.4344485894724023,0.7583820854978313,0.9423890144769124,0.1073538848222064,0.0240458477092467,0.9423890144769124,0.6281276043083748,0.08029959980727285,export_raw,1.0,0.7943343758099711,0.7338372610048911,0.05750542384680113,0.8914400207256429,1,0.02,0.97,0.98,0.22,0.5782664905872538,0.8585858585858586,0.9324181613847603,0.3752102663471328,0.6904377026940283,0.03856295664747493,0.1555580556169886,0.9350421610362165,1.0,1.0,1.0,0.9301770954875099,0.4546402349343801,0.8091722530551974,0.9310344827586207,0.06896551724137932,0.6000000000000001,0.6777433658681071,0.9493136210385702,0.7644003678456295,0.5772930632637993,0.729958304018906,1,EU
Cobalt,2018,45.150172328902016,3.8319006950459418,0.85,0.5423835225474908,0.7583820854978313,0.9287673688667851,0.1620111279761522,0.0684069101599025,0.9287673688667851,0.6150673711297504,0.1295546681964778,export_raw,1.0,0.7645161918944786,0.7910248294295562,0.03881823660222914,0.8914400207256429,1,0.02,0.97,0.98,0.22,0.557599088297135,0.8585858585858586,0.9195788175731289,0.4674661598245841,0.6836044611474967,0.11112964560623144,0.20392806125043159,0.9295126802141207,1.0,1.0,1.0,1.0,0.3688813551555465,0.8091722530551974,0.9310344827586207,0.06896551724137932,0.6000000000000001,0.6697060427552832,0.9396841131798467,0.7475525420622186,0.5772930632637993,0.7218983363289582,1,EU
Cobalt,2019,47.59765200376839,3.88357521705969,0.85,0.5336034442420585,0.7583820854978313,0.8570818121838693,0.1434059940456591,0.2047223524443047,0.8570818121838693,0.7209645685087012,0.13500461379763942,export_raw,1.0,0.694450644441394,0.7906370026813536,0.038760787651910364,0.8914400207256429,1,0.02,0.97,0.98,0.22,0.5322578460867262,0.8585858585858586,1.0,0.4570073808824134,0.6911073028503588,0.4009409051768174,0.17101670337413358,1.0,1.0,1.0,1.0,1.0,0.7779768083158562,0.8091722530551974,0.9310344827586207,0.06896551724137932,0.6000000000000001,0.6598511152290132,1.0,0.9111907233263425,0.5772930632637993,0.7675609928185447,1,EU
Cobalt,2020,52.291805957952604,3.9757825849810877,0.85,0.5400744468548947,0.7583820854978313,0.9293751267126741,0.1265486861823895,0.0293411290648314,0.9293751267126741,0.7152779352497073,0.1038033641966859,export_raw,1.0,0.7613431551424739,0.8055865091746527,0.03500677869451616,0.8914400207256429,1,0.02,0.97,0.98,0.22,0.49881540932488166,0.8585858585858586,1.0,0.47244808145681977,0.688209797985025,0.045092374126291905,0.1744984103066329,1.0,1.0,1.0,1.0,1.0,0.6187566872995266,0.8091722530551974,0.9310344827586207,0.06896551724137932,0.6000000000000001,0.6468457231549625,1.0,0.8475026749198107,0.5772930632637993,0.7500401844012663,1,EU
Cobalt,2021,52.291805957952604,3.9757825849810877,0.85,0.5400744468548947,0.7583820854978313,0.7617231497188309,0.1763399060720012,0.0172240526615743,0.7617231497188309,0.7160693851247351,0.17268262817730906,export_raw,1.0,0.6073765331109973,0.5177178515712058,0.03815989352220648,0.8914400207256429,1,0.02,0.97,0.98,0.22,0.49881540932488166,0.8585858585858586,0.6993298807456224,0.47244808145681977,0.6848458011954959,0.008164687828299641,0.228992137333175,0.7368233890805074,1.0,1.0,1.0,0.8827458397608621,0.3752553224087349,0.8091722530551974,0.9310344827586207,0.06896551724137932,0.6000000000000001,0.6468457231549625,0.7744974105592168,0.7207885889037094,0.5772930632637993,0.6757035967555416,1,EU
Cobalt,2022,30.35621873382784,3.4454126121226527,0.85,0.5797205166913261,0.7583820854978313,0.8191352201539509,0.1609615833848609,0.0180792925049631,0.8191352201539509,0.786438531437073,0.12941019111957644,export_raw,1.0,0.667052661990022,0.526651716405037,0.028672391208154974,0.8914400207256429,1,0.02,0.97,0.98,0.22,0.8190999389425115,0.8585858585858586,0.8686179479217988,0.5004932143021882,0.6848458011954959,0.018777485706936655,0.2859247341004739,0.8866954701024493,1.0,1.0,1.0,0.8648969004970526,0.3239462567591178,0.8091722530551974,0.9310344827586207,0.06896551724137932,0.6000000000000001,0.771400818006263,0.9014634609413491,0.6958027278279102,0.5772930632637993,0.7269887199148226,1,EU
Cobalt,2023,42.664309125409694,3.776531043581122,0.85,0.5797205166913261,0.7583820854978313,0.782223461431048,0.1593246338913966,0.0180144348722022,0.742761968215109,0.782223461431048,0.1204159159707171,export_intermediate,1.0,0.643299932089927,0.828531999309988,0.024908592763367446,0.8914400207256429,1,0.02,0.97,0.98,0.22,0.3515516319919153,0.8585858585858586,0.7673318965415086,0.5004932143021882,0.6848458011954959,0.018764324809024333,0.33817031941008635,1.0,1.0,1.0,1.0,1.0,0.34298668745826916,0.8091722530551974,0.9310344827586207,0.06896551724137932,0.6000000000000001,0.5895764764143645,0.8254989224061314,0.7371946749833076,0.5772930632637993,0.6746193543240248,1,EU
Nickel,2015,33.77673325499413,3.5489485785514514,0.0,0.1288252891117245,0.3933612678138735,0.7669858179879037,0.0792279567857887,0.4519105991993286,0.7669858179879037,0.09542384924260823,0.14497636799761265,export_raw,1.0,0.4474457621996758,0.31574148061104584,0.018244246770413274,0.588498355862346,2,0.0799999999999999,0.88,0.92,0.16,0.6230264572786637,0.0,0.7684569856657912,0.0,0.14185969383107366,0.6516395733854765,0.07828528216111286,0.7843440388452356,0.009370672835316257,1.0,0.5443215646807984,0.3475133670255621,0.35001293990343796,0.2766585611036585,0.724137931034483,0.2758620689655169,0.7090909090909091,0.43925776368917735,0.8263427392493434,0.4173960653560451,0.44416464027591457,0.50932265995063,6,EU
Nickel,2016,34.66508778252587,3.574172277034301,0.0,0.10532746055896094,0.3933612678138735,0.5700032916389095,0.1607139767481627,0.3519055292779969,0.5700032916389095,0.12773332559277292,0.134873495572347,export_raw,1.0,0.293285086318373,0.32590228080111205,0.03416501277911607,0.588498355862346,2,0.0799999999999999,0.88,0.92,0.16,0.65240583674593,0.0,0.5936442870809473,0.0,0.13224792801947508,0.6678420212115637,0.22734377104104647,0.6247463103435213,0.0698336146716283,1.0,0.6790670301832404,0.3233217830387562,0.44334077274926115,0.2766585611036585,0.724137931034483,0.2758620689655169,0.7090909090909091,0.4506830779264476,0.6952332153107105,0.49584021542352763,0.44416464027591457,0.512533047481287,6,EU
